Model,Task_Type,Full_Regression_R2,R2_GP_Variance_Alone,R2_NN_Distance_Alone,Beta_GP_Std,Beta_NN_Std
TabPFN_v2,dense_uninformative,0.3752909997025088,0.23025932134271992,0.2712437179277256,0.0020792461292185654,533.6718412762209
TabICL_v2,dense_uninformative,0.2975801725099236,0.20455554305594056,0.1891709344711491,0.0008896718051086241,-2.324361881648856
TabPFN_v2,sparse_informative,0.5401177866972204,0.26948718876338756,0.3072262373182447,0.020727808700489618,-0.07264822637295941
TabICL_v2,sparse_informative,0.20994531665652025,0.05495853290739237,0.07696236366209505,0.00588255396556877,-0.026852441036389556
