sigma_true,sigma2_true,Layer,implied_sigma2_gcv,Model
0.05,0.0025000000000000005,1,0.01151395399326447,TabICL_v2
0.05,0.0025000000000000005,2,0.006551285568595509,TabICL_v2
0.05,0.0025000000000000005,3,0.003727593720314938,TabICL_v2
0.05,0.0025000000000000005,4,0.004941713361323833,TabICL_v2
0.05,0.0025000000000000005,5,0.003727593720314938,TabICL_v2
0.05,0.0025000000000000005,6,0.004941713361323833,TabICL_v2
0.05,0.0025000000000000005,7,0.004941713361323833,TabICL_v2
0.05,0.0025000000000000005,8,0.006551285568595509,TabICL_v2
0.05,0.0025000000000000005,9,0.00868511373751352,TabICL_v2
0.05,0.0025000000000000005,10,0.01151395399326447,TabICL_v2
0.05,0.0025000000000000005,11,0.01151395399326447,TabICL_v2
0.1,0.010000000000000002,0,0.03556480306223128,TabICL_v2
0.1,0.010000000000000002,1,0.08286427728546843,TabICL_v2
0.1,0.010000000000000002,2,0.08286427728546843,TabICL_v2
0.1,0.010000000000000002,3,0.2559547922699533,TabICL_v2
0.1,0.010000000000000002,4,0.08286427728546843,TabICL_v2
0.1,0.010000000000000002,5,0.0012067926406393288,TabICL_v2
0.1,0.010000000000000002,6,0.0009102981779915217,TabICL_v2
0.1,0.010000000000000002,7,0.0009102981779915217,TabICL_v2
0.1,0.010000000000000002,8,0.0009102981779915217,TabICL_v2
0.1,0.010000000000000002,9,0.0009102981779915217,TabICL_v2
0.1,0.010000000000000002,10,0.0009102981779915217,TabICL_v2
0.1,0.010000000000000002,11,0.0009102981779915217,TabICL_v2
0.2,0.04000000000000001,0,0.0005179474679231213,TabICL_v2
0.2,0.04000000000000001,1,0.0009102981779915217,TabICL_v2
0.2,0.04000000000000001,2,0.003727593720314938,TabICL_v2
0.2,0.04000000000000001,3,0.002811768697974231,TabICL_v2
0.2,0.04000000000000001,4,0.015264179671752334,TabICL_v2
0.2,0.04000000000000001,5,0.002811768697974231,TabICL_v2
0.2,0.04000000000000001,6,0.003727593720314938,TabICL_v2
0.2,0.04000000000000001,7,0.006551285568595509,TabICL_v2
0.2,0.04000000000000001,8,0.00868511373751352,TabICL_v2
0.2,0.04000000000000001,9,0.002811768697974231,TabICL_v2
0.2,0.04000000000000001,10,0.015264179671752334,TabICL_v2
0.2,0.04000000000000001,11,0.004941713361323833,TabICL_v2
0.5,0.25,0,10.0,TabICL_v2
0.5,0.25,1,10.0,TabICL_v2
0.5,0.25,2,10.0,TabICL_v2
0.5,0.25,3,10.0,TabICL_v2
0.5,0.25,4,10.0,TabICL_v2
0.5,0.25,5,10.0,TabICL_v2
0.5,0.25,6,10.0,TabICL_v2
0.5,0.25,7,10.0,TabICL_v2
0.5,0.25,8,10.0,TabICL_v2
0.5,0.25,9,10.0,TabICL_v2
0.5,0.25,10,10.0,TabICL_v2
0.5,0.25,11,10.0,TabICL_v2
