Model,Layer,Delta_H_Effective_Rank,Delta_H_Gini_Locality
TabPFN_v2,0,2.5975884199142456,0.3760334315411361
TabPFN_v2,1,3.6865236282348635,0.35850448170255006
TabPFN_v2,2,6.902441024780273,0.33247543356185777
TabPFN_v2,3,11.569894790649414,0.3123879335368481
TabPFN_v2,4,10.291921234130859,0.3181823345066232
TabPFN_v2,5,22.65854549407959,0.21863496836418067
TabPFN_v2,6,27.106270790100098,0.20403159688978828
TabPFN_v2,7,35.14320068359375,0.18635862731082536
TabPFN_v2,8,35.61396045684815,0.17681760850997316
TabPFN_v2,9,49.88269195556641,0.15593352422091528
TabPFN_v2,10,43.05299320220947,0.1181712398063784
TabPFN_v2,11,21.623284816741943,0.131625450548627
TabICL_v2,0,6.817248725891114,0.34321644921679895
TabICL_v2,1,8.726762962341308,0.3394686785010232
TabICL_v2,2,9.625848960876464,0.35073169307506563
TabICL_v2,3,10.449166202545166,0.3640237101982172
TabICL_v2,4,10.524540138244628,0.41539210249973235
TabICL_v2,5,16.156381797790527,0.4308237960208208
TabICL_v2,6,19.82115602493286,0.4138993173339271
TabICL_v2,7,20.8362756729126,0.3483263761340627
TabICL_v2,8,19.520073413848877,0.3433321152351776
TabICL_v2,9,29.51986904144287,0.3533641156906171
TabICL_v2,10,32.42010669708252,0.294755746879122
TabICL_v2,11,36.20740375518799,0.262806758432139
