Suite,Metric,Mean,Std,Min,Max
1 (ID Low Noise),prediction_mse,0.00032738360459916294,0.00020787419634871185,6.63513783365488e-05,0.0019264206057414412
1 (ID Low Noise),grad_norm_mean,0.12413543239235877,0.023438523078447356,0.08332682400941849,0.20302003622055054
1 (ID Low Noise),grad_cosine_mean,0.7442391301319004,0.12918990886538587,0.05107821151614189,0.940363347530365
1 (ID Low Noise),grad_magnitude_coherence,0.09309030513340791,0.025993490117174188,0.005238840466141675,0.17405057421854409
2 (ID High Noise),prediction_mse,0.34603258967399597,0.2682390809059143,0.05237939953804016,1.6611454486846924
2 (ID High Noise),grad_norm_mean,1.718384575843811,0.5505479891422916,0.8429732918739319,3.328091859817505
2 (ID High Noise),grad_cosine_mean,0.15766074048238807,0.11229897659224199,-0.030475573614239693,0.5364914536476135
2 (ID High Noise),grad_magnitude_coherence,0.2910327744291913,0.2615898535359309,-0.031532935431376696,1.385129615123148
3 (Near-OOD),prediction_mse,0.9345371127128601,0.2787764072418213,0.32148730754852295,2.0288760662078857
3 (Near-OOD),grad_norm_mean,3.0508575534820555,0.4697668009537643,1.9948842525482178,4.328370571136475
3 (Near-OOD),grad_cosine_mean,0.3131140837073326,0.11304430851752222,0.1020231693983078,0.6120010614395142
3 (Near-OOD),grad_magnitude_coherence,0.952344527515514,0.36095237618341025,0.29025091615157805,1.8189517065644623
4 (Far-OOD),prediction_mse,1.5540227890014648,0.514614462852478,0.45639848709106445,2.9310643672943115
4 (Far-OOD),grad_norm_mean,4.104990293979645,0.49499809204651846,2.9936792850494385,5.640408992767334
4 (Far-OOD),grad_cosine_mean,0.37103935077786443,0.10198665253900199,0.12883681058883667,0.6650583744049072
4 (Far-OOD),grad_magnitude_coherence,1.5450672001889898,0.5381537965185836,0.39845093231109274,3.204997335384064
5 (Real-World OOD),prediction_mse,0.7321790456771851,0.293954074382782,0.09705843776464462,1.6064449548721313
5 (Real-World OOD),grad_norm_mean,2.708926910161972,0.4787714296404675,1.3617042303085327,3.7974658012390137
5 (Real-World OOD),grad_cosine_mean,0.18094840868143364,0.11019074030134693,-0.013114523142576218,0.5809375643730164
5 (Real-World OOD),grad_magnitude_coherence,0.5071968307200931,0.3385910161533936,-0.03168415491483856,1.6714933894465531
