layer,d_id_95,d_ood_95,subspace_overlap,variance_ratio_id_to_ood_subspace,variance_ratio_ood_to_id_subspace
0,3,2,0.9963331818580627,0.8773978352546692,0.9816049337387085
1,4,2,0.9992470145225525,0.9045946002006531,0.97586590051651
2,8,6,0.8577756881713867,0.8089001774787903,0.7602065801620483
3,12,5,0.8361638188362122,0.5497782826423645,0.8896710872650146
4,13,5,0.7362983226776123,0.5789352655410767,0.9071701169013977
5,12,11,0.4616270065307617,0.784523069858551,0.7131286263465881
