frequency,mahal_mean,mahal_std,cosine_mean,cosine_std,euclidean_mean,euclidean_std
0.05,121.73857310194984,55.47172992909088,0.022154679521918297,0.018842818215489388,4.464852219223976,1.952581452994729
0.1,111.70123848246276,41.65644338062947,0.01825815998017788,0.013362494297325611,4.182413693070412,1.4901397787543202
0.2,109.33776121512888,49.122024287905475,0.01860099472105503,0.015178170055150986,4.1633596765995025,1.6369355070147582
0.5,80.16192972269928,31.003581266972322,0.010659686289727688,0.007001687306910753,3.2094135838747024,1.028166975124216
0.8,48.70377529997157,17.92111210343767,0.004997726529836655,0.002833189908415079,2.249102880358696,0.598255882897497
1.2,43.035144961329706,15.469944415760484,0.005553700961172581,0.003601750824600458,2.332632668018341,0.6724323397647182
1.8,43.980318944365955,14.8208003040105,0.00620539765805006,0.005322014447301626,2.3910475295782088,0.8205944000092689
2.5,45.82064890347318,13.149182927153975,0.01817605271935463,0.018668659031391144,3.737265265583992,1.9311286096565439
4.0,78.36797529834632,31.252396630996348,0.19532380998134613,0.11384744942188263,12.541709463596344,4.09165186376536
6.0,153.22704651578417,66.53455248406952,0.3760969936847687,0.12322670221328735,17.59489010334015,3.14271681524343
8.0,193.5382152951331,84.00151219842309,0.42988982796669006,0.10950582474470139,18.862504091262817,2.5439564499061906
12.0,234.8103909993668,102.58598547692824,0.4649084508419037,0.10588353127241135,19.599335656166076,2.349986494660241
