layer,accuracy,precision,recall,f1,auc
0,0.7516666666666667,0.7280966767371602,0.8033333333333333,0.7638668779714739,0.849175
1,0.9975,0.9950248756218906,1.0,0.9975062344139651,0.9999166666666667
2,0.9958333333333333,0.9950083194675541,0.9966666666666667,0.9958368026644463,0.9997027777777777
3,0.9975,0.9966722129783694,0.9983333333333333,0.9975020815986678,0.9999944444444445
4,0.9991666666666666,0.9983361064891847,1.0,0.9991673605328892,0.9999916666666666
5,0.9983333333333333,0.9966777408637874,1.0,0.9983361064891847,0.9999611111111112
